,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
142,PEACHTREE CORNERS,GA,5335 TRIANGLE PARKWAY,,30092,0000025475,CRAWFORD & CO,PEACHTREE CORNERS,GA,5335 TRIANGLE PARKWAY,,30092
143,PITTSBURGH,PA,322 NORTH SHORE DRIVE,"BUILDING 1B, SUITE 200",15212,0001570937,ALTAIR INTERNATIONAL CORP.,PITTSBURGH,PA,322 NORTH SHORE DRIVE,"BUILDING 1B, SUITE 200",15212
144,CLEVELAND,OH,6065 PARKLAND BLVD.,,44124,0000076282,PARK OHIO HOLDINGS CORP,CLEVELAND,OH,6065 PARKLAND BLVD.,,44124
145,NEW YORK,NY,1185 AVENUE OF THE AMERICAS,,10036,0000004447,HESS CORP,NEW YORK,NY,1185 AVENUE OF THE AMERICAS,,10036
146,RALEIGH,NC,4200 SIX FORKS ROAD,,27609,0001158449,ADVANCE AUTO PARTS INC,RALEIGH,NC,4200 SIX FORKS ROAD,,27609
147,QUINCY,MA,2 BATTERYMARCH PARK,SUITE 301,02169,0001667161,"Randolph Bancorp, Inc.",QUINCY,MA,2 BATTERYMARCH PARK,SUITE 301,02169
148,STUDIO CITY,CA,11724 VENTURA BLVD.,SUITE B,91604,0001593773,KANGE CORP,STUDIO CITY,CA,11724 VENTURA BLVD.,SUITE B,91604
149,WATERTOWN,MA,480 ARSENAL WAY,,02472,0001327273,"Lyra Therapeutics, Inc.",WATERTOWN,MA,480 ARSENAL WAY,,02472
150,ATLANTA,GA,5565 GLENRIDGE CONNECTOR,STE 450,30342,0001042776,"Piedmont Office Realty Trust, Inc.",ATLANTA,GA,5565 GLENRIDGE CONNECTOR,STE 450,30342
151,NEW YORK,NY,1114 AVENUE OF THE AMERICAS,39TH FLOOR,10036,0001095651,ISTAR INC.,NEW YORK,NY,1114 AVENUE OF THE AMERICAS,39TH FLOOR,10036
152,SECAUCUS,NJ,500 PLAZA DRIVE,,07094,0001041859,"Childrens Place, Inc.",SECAUCUS,NJ,500 PLAZA DRIVE,,07094
153,ELGIN,IL,1703 N. RANDALL ROAD,,60123-7820,0000880117,SANFILIPPO JOHN B & SON INC,ELGIN,IL,1703 N. RANDALL ROAD,,60123-7820
154,ST LOUIS,MO,CITY PLACE ONE STE 300,ARCH MINERAL CORP,63141,0001037676,"ARCH RESOURCES, INC.",CREVE COEUR,MO,CITYPLACE ONE SUITE 300,ARCH MINERAL CORP,63141
155,CALGARY,A0,505 QUARRY PARK BOULEVARD S.E.,,T2C 5N1,0000049938,IMPERIAL OIL LTD,CALGARY,A0,505 QUARRY PARK BOULEVARD S.E.,,T2C 5N1
156,PHILADELPHIA,PA,ONE COMMERCE SQUARE,"2005 MARKET STREET, 17TH FLOOR",19103,0001287808,"Hill International, Inc.",PHILADELPHIA,PA,ONE COMMERCE SQUARE,"2005 MARKET STREET, 17TH FLOOR",19103
157,ST. CHARLES,MO,3817 MILLSTONE PARKWAY,,63301,0001810140,Polished.com Inc.,ST. CHARLES,MO,3817 MILLSTONE PARKWAY,,63301
158,TAMPA,FL,1242 EAST 5TH AVENUE,,33605,0000893691,MASONITE INTERNATIONAL CORP,TAMPA,FL,1242 EAST 5TH AVENUE,,33605
159,SAN FRANCISCO,CA,39 MESA STREET,SUITE 310,94129,0001875943,VMG Consumer Acquisition Corp.,SAN FRANCISCO,CA,39 MESA STREET,SUITE 310,94129
160,LAS VEGAS,NV,11411 SOUTHERN HIGHLANDS PARKWAY,SUITE 240,89141,0000896493,"BitNile Holdings, Inc.",LAS VEGAS,NV,11411 SOUTHERN HIGHLANDS PARKWAY,SUITE 240,89141
161,NEW YORK,NY,205 WEST 28TH STREET,12TH FLOOR,10001,0001577134,"Terra Income Fund 6, LLC",NEW YORK,NY,205 WEST 28TH STREET,12TH FLOOR,10001
162,TORONTO,A6,"ROYAL BANK PLAZA, NORTH TOWER","200 BAY STREET, SUITE 2200",M5J2J3,0001264089,YAMANA GOLD INC.,TORONTO,A6,"ROYAL BANK PLAZA, NORTH TOWER","200 BAY STREET, SUITE 2200",M5J2J3
163,JIANGYIN,F4,NO. 110 HUANCUN WEST ROAD,HUAXI INDUSTRIAL PARK,214421,0001816978,Huarui International New Material Ltd,JIANGYIN,F4,NO. 110 HUANCUN WEST ROAD,HUAXI INDUSTRIAL PARK,214421
164,NEW YORK,NY,"399 PARK AVENUE, 5TH FLOOR",,10022,0001596967,Moelis & Co,NEW YORK,NY,"399 PARK AVENUE, 5TH FLOOR",,10022
165,LOS ALTOS,CA,4546 EL CAMINO REAL B10,#175,94022,0001936255,Four Leaf Acquisition Corp,LOS ALTOS,CA,4546 EL CAMINO REAL B10,#175,94022
166,GRAND CAYMAN,E9,C/O MAPLES CORPORATE SERVICES LIMITED,"PO BOX 309, UGLAND HOUSE",KY1-1104,0001851909,Compass Digital Acquisition Corp.,GRAND CAYMAN,E9,C/O MAPLES CORPORATE SERVICES LIMITED,"PO BOX 309, UGLAND HOUSE",KY1-1104
167,NORTH BRUNSWICK,NJ,1604 HWY 130,,08902,0001846235,International Media Acquisition Corp.,NORTH BRUNSWICK,NJ,1604 HWY 130,,08902
168,"CHERRY HILL,",NJ,2370 STATE ROUTE 70 WEST,SUITE 310,08002,0001349929,"Vyant Bio, Inc.","CHERRY HILL,",NJ,2370 STATE ROUTE 70 WEST,SUITE 310,08002
169,JACKSONVILLE,FL,4231 WALNUT BEND,,32257,0001645155,Webstar Technology Group Inc.,JACKSONVILLE,FL,4231 WALNUT BEND,,32257
170,GILBERT,AZ,"1206 E. WARNER ROAD, SUITE 101-L",,85296,0001696898,Chee Corp.,GILBERT,AZ,"1206 E. WARNER ROAD, SUITE 101-L",,85296
171,BOISBRAIND,Z4,730 BOULEVARD DU CURE-BOIVIN,,J7G 2A7,0001813783,Vision Marine Technologies Inc.,BOISBRAIND,Z4,730 BOULEVARD DU CURE-BOIVIN,,J7G 2A7
172,CHICAGO,IL,333 WEST WACKER DRIVE,,60606,0001547994,Nuveen Preferred & Income Term Fund,CHICAGO,IL,333 WEST WACKER DRIVE,,60606
173,NEW YORK,NY,1633 BROADWAY,,10019,0001318025,PIMCO Global StocksPLUS & Income Fund,NEW YORK,NY,1633 BROADWAY,,10019
174,Austin,TX,10355 PECAN PARK BOULEVARD,,78729,0001410384,"Q2 Holdings, Inc.",Austin,TX,10355 PECAN PARK BOULEVARD,,78729
175,MARIETTA,GA,"1775 W OAK COMMONS COURT, NE",,30062,0001376339,"MIMEDX GROUP, INC.",MARIETTA,GA,"1775 W OAK COMMONS COURT, NE",,30062
176,SAN FRANCISCO,CA,350 TREAT AVENUE,,94110,0001816581,"Ouster, Inc.",SAN FRANCISCO,CA,350 TREAT AVENUE,,94110
177,CAMBRIDGE,MA,301 BINNEY STREET,,02142,0001755237,"Cyclerion Therapeutics, Inc.",CAMBRIDGE,MA,301 BINNEY STREET,,02142
178,RALEIGH,NC,"150 FAYETTEVILLE STREET,",SUITE 1110,27601,0001001601,"MGT CAPITAL INVESTMENTS, INC.",RALEIGH,NC,"150 FAYETTEVILLE STREET,",SUITE 1110,27601
179,NORWALK,CT,"201 MERRITT 7 CORPORATE PARK,",,06851,0001140215,"REED'S, INC.",NORWALK,CT,"201 MERRITT 7 CORPORATE PARK,",,06851
180,BASEL,V8,LICHTSTRASSE 35,,CH 4056,0001114448,NOVARTIS AG,BASEL,V8,LICHTSTRASSE 35,,CH 4056
181,DALLAS,TX,"2100 MCKINNEY AVENUE, SUITE 1500",,75201,0001508655,"Sixth Street Specialty Lending, Inc.",DALLAS,TX,"2100 MCKINNEY AVENUE, SUITE 1500",,75201
182,ELGIN,IL,1400 TOASTMASTER DRIVE,,60120,0000769520,MIDDLEBY Corp,ELGIN,IL,1400 TOASTMASTER DRIVE,,60120
183,INDIANAPOLIS,IN,2780 WATERFRONT,"PARKWAY E. DRIVE, SUITE 200",46214,0001340122,"Calumet Specialty Products Partners, L.P.",INDIANAPOLIS,IN,2780 WATERFRONT,"PARKWAY E. DRIVE, SUITE 200",46214
184,LANCASTER,CA,42505 10TH STREET WEST,,93534-7059,0001023459,"Simulations Plus, Inc.",LANCASTER,CA,42505 10TH STREET WEST,,93534-7059
185,BURLINGAME,CA,1815 ROLLINS ROAD,,94010,0001820630,Proterra Inc,BURLINGAME,CA,1815 ROLLINS ROAD,,94010
186,MIAMI,FL,4400 BISCAYNE BOULEVARD,10TH FLOOR,33137,0000723733,"MULTI SOLUTIONS II, INC",MIAMI,FL,4400 BISCAYNE BOULEVARD,10TH FLOOR,33137
187,EDINBURG,VA,PO BOX 459,124 SOUTH MAIN ST,22824,0000354963,SHENANDOAH TELECOMMUNICATIONS CO/VA/,EDINBURG,VA,P O BOX 459,,22824
188,SAN DIEGO,CA,"9707 WAPLES STREET, SUITE 150",,92121,0000722572,FRANKLIN WIRELESS CORP,SAN DIEGO,CA,"9707 WAPLES STREET, SUITE 150",,92121
189,FOOTHILL RANCH,CA,"27422 PORTOLA PARKWAY, SUITE 200",,92610-2831,0000811596,KAISER ALUMINUM CORP,FOOTHILL RANCH,CA,"27422 PORTOLA PARKWAY, SUITE 200",,92610-2831
190,ROMEOVILLE,IL,1319 MARQUETTE DRIVE,,60446,0000883107,NANOPHASE TECHNOLOGIES Corp,ROMEOVILLE,IL,1319 MARQUETTE DRIVE,,60446
191,FARMINGDALE,NJ,1451 ROUTE 34,SUITE 303,07727,0001571776,Cherry Hill Mortgage Investment Corp,FARMINGDALE,NJ,1451 ROUTE 34,SUITE 303,07727
192,Beijing,F4,"5/F, TOWER B, HEYING CENTER,","XIAOYING WEST STREET, HAIDIAN DISTRICT",100085,0001499620,TAL Education Group,Beijing,F4,"5/F, TOWER B, HEYING CENTER,","XIAOYING WEST STREET, HAIDIAN DISTRICT",100085
193,FRAMINGHAM,MA,550 COCHITUATE ROAD,,01701,0001861795,Definitive Healthcare Corp.,FRAMINGHAM,MA,550 COCHITUATE ROAD,,01701
194,MAHWAH,NJ,100 CORPORATE DRIVE,,07430,0000704440,"KORU Medical Systems, Inc.",MAHWAH,NJ,100 CORPORATE DRIVE,,07430
195,NEW YORK,NY,70 E. 55TH STREET,,10022,0001874981,USA Acquisition Corp.,NEW YORK,NY,70 E. 55TH STREET,,10022
196,SAN JOSE,CA,2309 BERING DRIVE,,95131,0000890394,Peraso Inc.,SAN JOSE,CA,2309 BERING DRIVE,,95131
197,GREENWOOD VILLAGE,CO,7800 EAST ORCHARD ROAD,SUITE 300,80111,0001475841,National Bank Holdings Corp,GREENWOOD VILLAGE,CO,7800 EAST ORCHARD ROAD,SUITE 300,80111
198,FRANKLIN,TN,232 3RD AVENUE N.,,37064,0001785343,"Freehold Properties, Inc.",FRANKLIN,TN,232 3RD AVENUE N.,,37064
199,OMAHA,NE,"15418 WEIR ST., #333",,68137,0001821534,"Exodus Movement, Inc.",OMAHA,NE,"15418 WEIR ST., #333",,68137
200,DALLAS,TX,300 CRESCENT COURT,SUITE 700,75201,0001620393,"NexPoint Residential Trust, Inc.",DALLAS,TX,300 CRESCENT COURT,SUITE 700,75201
201,NEW YORK,NY,590 MADISON AVENUE,21ST FLOOR,10022,0001599407,1847 Holdings LLC,NEW YORK,NY,590 MADISON AVENUE,21ST FLOOR,10022
202,CALGARY ALBERTA CANADA,A0,"2100, 855-2 STREET SW",,T2P 4J8,0001017413,CANADIAN NATURAL RESOURCES LTD,CALGARY ALBERTA CANADA,A0,"2100, 855-2 STREET SW",,T2P 4J8
203,WILMINGTON,DE,100 BELLEVUE PARKWAY,,19809,0000883412,"BLACKROCK MUNIYIELD QUALITY FUND III, INC.",WILMINGTON,DE,100 BELLEVUE PARKWAY,,19809
204,DALLAS,TX,1909 WOODALL RODGERS FREEWAY,SUITE 500,75201,0001851266,LF Capital Acquisition Corp. II,DALLAS,TX,1909 WOODALL RODGERS FREEWAY,SUITE 500,75201
205,AUSTIN,TX,4200 MARATHON BLVD.,SUITE 200,78756,0001095981,"PLUS THERAPEUTICS, INC.",AUSTIN,TX,4200 MARATHON BLVD.,SUITE 200,78756
206,CANFIELD,OH,20 S BROAD STREET,P O BOX 555,44406,0000709337,FARMERS NATIONAL BANC CORP /OH/,CANFIELD,OH,20 S BROAD STREET,PO BOX 555,44406
207,WALTHAM,MA,1601 TRAPELO ROAD,SUITE 286,02451,0001598646,"Minerva Neurosciences, Inc.",WALTHAM,MA,1601 TRAPELO ROAD,SUITE 286,02451
208,NASHVILLE,TN,"102 WOODMONT BLVD., SUITE 100",,37205,0001748669,Priam Properties Inc.,NASHVILLE,TN,"102 WOODMONT BLVD., SUITE 100",,37205
209,MILLBROOK,NY,3814 ROUTE 44,,12545,0001059213,DIVIDEND & INCOME FUND,MILLBROOK,NY,3814 ROUTE 44,,12545
210,NEW YORK,NY,250 PARK AVENUE SOUTH,10TH FLOOR,10003,0001432133,KALTURA INC,NEW YORK,NY,250 PARK AVENUE SOUTH,10TH FLOOR,10003
211,AUCKLAND,Q2,"LEVEL 1, 725 ROSEBANK ROAD","AVONDALE, 1348",00000,0001511161,ASTIKA HOLDINGS INC.,AUCKLAND,Q2,"LEVEL 1, 725 ROSEBANK ROAD","AVONDALE, 1348",00000
212,MIAMI BEACH,FL,1111 LINCOLN ROAD,SUITE 500,33139,0001866816,OmniLit Acquisition Corp.,MIAMI BEACH,FL,1111 LINCOLN ROAD,SUITE 500,33139
213,SOUTHPORT,CT,1 LACEY PLACE,,06490,0000095029,STURM RUGER & CO INC,SOUTHPORT,CT,,1 LACEY PLACE,06490
214,HENDERSON,NV,10624 S. EASTERN AVE,SUITE A-614,89052,0001386301,"Research Solutions, Inc.",HENDERSON,NV,10624 S. EASTERN AVE,SUITE A-614,89052
215,SEATTLE,WA,1165 EASTLAKE AVE E,,98109,0001478320,Adaptive Biotechnologies Corp,SEATTLE,WA,1165 EASTLAKE AVE E,,98109
216,LAS VEGAS,NV,6460 MEDICAL CENTER STREET,SUITE 230,89148,0001501862,"Empire Global Gaming, Inc.",LAS VEGAS,NV,6460 MEDICAL CENTER STREET,SUITE 230,89148
217,DENVER,CO,4880 HAVANA STREET,SUITE 201 SOUTH,80239,0001622879,"Medicine Man Technologies, Inc.",DENVER,CO,4880 HAVANA STREET,SUITE 201 SOUTH,80239
218,BETHESDA,MD,7750 WISCONSIN AVENUE,,20814,0001048286,MARRIOTT INTERNATIONAL INC /MD/,BETHESDA,MD,7750 WISCONSIN AVENUE,,20814
219,EAST AURORA,NY,130 COMMERCE WAY,-,14052-2191,0000008063,ASTRONICS CORP,EAST AURORA,NY,130 COMMERCE WAY,-,14052-2191
220,DENVER,CO,707 17TH STREET,SUITE 4200,80202,0001421461,"Intrepid Potash, Inc.",DENVER,CO,707 17TH STREET,SUITE 4200,80202
221,"QUFU, SHANDONG",F4,"6 SHENGWANG AVENUE,",,273100,0000806592,"SUNWIN STEVIA INTERNATIONAL, INC.","QUFU, SHANDONG",F4,"6 SHENGWANG AVENUE,",,273100
222,BALTIMORE,MD,1310 POINT STREET,,21231,0001868275,Constellation Energy Corp,BALTIMORE,MD,1310 POINT STREET,,21231
223,NEW YORK,NY,1411 BROADWAY,34TH FLOOR,10018,0000775368,ALLEGHANY CORP /DE,NEW YORK,NY,1411 BROADWAY,34TH FLOOR,10018
224,PROVO,UT,333 WEST RIVER PARK DRIVE,,84604,0001747748,Qualtrics International Inc.,PROVO,UT,333 WEST RIVER PARK DRIVE,,84604
225,PHILADELPHIA,PA,1900 MARKET STREET,SUITE 200,19103,0000846676,"ABRDN EMERGING MARKETS EQUITY INCOME FUND, INC.",PHILADELPHIA,PA,1900 MARKET STREET,SUITE 200,19103
226,WILMINGTON,MA,68 JONSPIN RD,,01887,0000717954,UNIFIRST CORP,WILMINGTON,MA,68 JONSPIN ROAD,,01887
227,"DORADO,",PR,"BUILDING NO. 3, P.R. 696, INT.",JOSE EFRON AVE.,00646,0001381240,GSRX INDUSTRIES INC.,"DORADO,",PR,"BUILDING NO. 3, P.R. 696, INT.",JOSE EFRON AVE.,00646
228,NEW YORK,NY,"111 WEST 33RD STREET, 12TH FL",,10120,0001541401,"Empire State Realty Trust, Inc.",NEW YORK,NY,"111 WEST 33RD STREET, 12TH FL",,10120
229,WOODLAND HILLS,CA,6320 CANOGA AVENUE,15TH FLOOR,91367,0001528172,"ENDONOVO THERAPEUTICS, INC.",WOODLAND HILLS,CA,6320 CANOGA AVENUE,15TH FLOOR,91367
230,HOUSTON,TX,811 MAIN STREET,SUITE 3400,77002,0001136352,Crestwood Equity Partners LP,HOUSTON,TX,811 MAIN STREET,SUITE 3400,77002
231,BOISE,ID,"1111 WEST JEFFERSON STREET, SUITE 300",P. O. BOX 50,83702,0001328581,BOISE CASCADE Co,BOISE,ID,"1111 WEST JEFFERSON STREET, SUITE 300",P. O. BOX 50,83702
232,LONDON,X0,"SUITE 1, 3RD FLOOR",11-12 ST. JAMES SQUARE,SW1Y 4LB,0001679082,Myovant Sciences Ltd.,LONDON,X0,"SUITE 1, 3RD FLOOR",11-12 ST. JAMES SQUARE,SW1Y 4LB
233,SAN ANTONIO,TX,3611 PAESANOS PARKWAY,SUITE 300,78231,0001088034,"Usio, Inc.",SAN ANTONIO,TX,3611 PAESANOS PARKWAY,SUITE 300,78231
234,SAN FRANCISCO,CA,234 1ST STREET,,94105,0001818874,"SoFi Technologies, Inc.",SAN FRANCISCO,CA,234 1ST STREET,,94105
235,MANITOWOC,WI,814 S 8TH ST,,54220,0001119807,LEGACY CARE PARTNERS INC.,MANITOWOC,WI,814 S 8TH ST,,54220
236,GREENWICH,CT,260 MASON STREET,,06830,0001861541,Pegasus Digital Mobility Acquisition Corp.,GREENWICH,CT,260 MASON STREET,,06830
237,BREA,CA,580 N. BERRY STREET,,92821,0001707910,"Reborn Coffee, Inc.",BREA,CA,580 N. BERRY STREET,,92821
238,CALABASAS,CA,23975 PARK SORRENTO,SUITE 250,91302,0001039280,NETSOL TECHNOLOGIES INC,CALABASAS,CA,23975 PARK SORRENTO,SUITE 250,91302
239,LITTLE FALLS,NJ,195 PATERSON AVENUE,,07424,0001704795,"Bantec, Inc.",LITTLE FALLS,NJ,195 PATERSON AVENUE,,07424
240,LEVERKUSEN,2M,HEMMELRATHER WEG 201,,D-51377,0001712641,Biofrontera AG,LEVERKUSEN,2M,HEMMELRATHER WEG 201,,D-51377
241,TORRANCE,CA,2929 CALIFORNIA STREET,,90503,0000918251,MOTORCAR PARTS OF AMERICA INC,TORRANCE,CA,2929 CALIFORNIA STREET,,90503
242,TAMPA,FL,1001 WATER STREET,SUITE 800,33602,0001567925,"Sila Realty Trust, Inc.",TAMPA,FL,1001 WATER STREET,SUITE 800,33602
243,TAI'AN,F4,555 TAISHAN STREET,,271000,0001735532,"Tony Fun, Inc.",TAI'AN,F4,555 TAISHAN STREET,,271000
244,OMAHA,NE,1811 AKSARBEN DRIVE,,68106,0001635650,Green Plains Partners LP,OMAHA,NE,1811 AKSARBEN DRIVE,,68106
245,WATERTOWN,MA,500 ARSENAL STREET,,02472,0001177648,ENANTA PHARMACEUTICALS INC,WATERTOWN,MA,500 ARSENAL STREET,,02472
246,GERMANTOWN,MD,20271 GOLDENROD LANE,,20876,0001460602,Orgenesis Inc.,GERMANTOWN,MD,20271 GOLDENROD LANE,,20876
247,HOUSTON,TX,"601 TRAVIS STREET, FLOOR 16",,77002,0001371782,MV Oil Trust,HOUSTON,TX,"601 TRAVIS STREET, FLOOR 16",,77002
248,BURLINGTON,MA,15 WAYSIDE ROAD,,01880,0001768267,Cerence Inc.,BURLINGTON,MA,15 WAYSIDE ROAD,,01880
249,FLEMING ISLAND,FL,1765 COUNTRY WALK DRIVE,,32003,0001310291,"PSYCHECEUTICAL BIOSCIENCE, INC.",FLEMING ISLAND,FL,1765 COUNTRY WALK DRIVE,,32003
250,SHERIDAN,WY,30 N GOULD STREET,SUITE 5835,82801,0000058411,"Lee Pharmaceuticals, Inc.",SHERIDAN,WY,30 N GOULD STREET,SUITE 5835,82801
251,FRANKLIN LAKES,NJ,ONE BECTON DR,,07417-1880,0000010795,BECTON DICKINSON & CO,FRANKLIN LAKE,NJ,ONE BECTON DR,,07417
252,"CHAOYANG DISTRICT, BEIJING",F4,"5-6/F, TWR A1, JUNHAO CENTRAL PARK PLAZA",NO. 10 SOUTH CHAOYANG PARK AVENUE,00000,0001779476,36Kr Holdings Inc.,"CHAOYANG DISTRICT, BEIJING",F4,"5-6/F, TWR A1, JUNHAO CENTRAL PARK PLAZA",NO. 10 SOUTH CHAOYANG PARK AVENUE,00000
253,BRISBANE,CA,"2000 SIERRA POINT PARKWAY, SUITE 501",,94080-1930,0001845337,"Day One Biopharmaceuticals, Inc.",BRISBANE,CA,"2000 SIERRA POINT PARKWAY, SUITE 501",,94080-1930
254,MURRAY,UT,5282 SOUTH COMMERCE DRIVE,SUITE D292,84107,0000050471,PARK CITY GROUP INC,MURRAY,UT,5282 SOUTH COMMERCE DRIVE,SUITE D292,84107
255,WASHINGTON,DC,3027 N STREET NW,,20007,0001870079,Silver Sustainable Solutions Corp.,WASHINGTON,DC,3027 N STREET NW,,20007
256,STAFFORD,TX,"3992 BLUEBONNET DR, BUILDING 14",,77477,0001799788,"Greenwich LifeSciences, Inc.",STAFFORD,TX,"3992 BLUEBONNET DR, BUILDING 14",,77477
257,LAS VEGAS,NV,"6775 S. EDMOND ST., SUITE #300",,89118,0001593548,"PlayAGS, Inc.",LAS VEGAS,NV,"6775 S. EDMOND ST., SUITE #300",,89118
258,EL SEGUNDO,CA,222 N. PACIFIC COAST HIGHWAY,SUITE 500,90245,0000040888,"AEROJET ROCKETDYNE HOLDINGS, INC.",EL SEGUNDO,CA,222 N. PACIFIC COAST HIGHWAY,SUITE 500,90245
259,FAIRFAX,VA,9300 LEE HIGHWAY,,22031,0001362004,"ICF International, Inc.",FAIRFAX,VA,9300 LEE HIGHWAY,,22031
260,"CHANGPING DISTRICT, BEIJING",F4,"1-2/F, BUILDING 11, ZONE 1",NO.8 LIFE SCIENCE PARKWAY,102206,0001782594,Genetron Holdings Ltd,"CHANGPING DISTRICT, BEIJING",F4,"1-2/F, BUILDING 11, ZONE 1",NO.8 LIFE SCIENCE PARKWAY,102206
261,TORONTO,A6,"BROOKFIELD PLACE, 181 BAY ST, STE 300",PO BOX 762,M5J2T3,0001001085,BROOKFIELD ASSET MANAGEMENT INC.,TORONTO,A6,"BROOKFIELD PLACE, 181 BAY ST, STE 300",PO BOX 762,M5J2T3
262,SANDUSKY,OH,100 EAST WATER ST,P O BOX 5016,44870,0000944745,"CIVISTA BANCSHARES, INC.",SANDUSKY,OH,100 EAST WATER ST,P O BOX 5016,44870
263,SAN JOSE,CA,110 ROSE ORCHARD WAY,,95134,0001713683,"Zscaler, Inc.",SAN JOSE,CA,110 ROSE ORCHARD WAY,,95134
264,"OLHOS D GUA, MG 39398-000",D5,RUA VEREADOR JOAO ALVES PRAES N  95-A,,39398-000,0001684688,Jupiter Gold Corp,"OLHOS D GUA, MG 39398-000",D5,RUA VEREADOR JOAO ALVES PRAES N  95-A,,39398-000
265,NEVE ILAN,L3,COMMUNICATIONS CENTER,,9085000,0001795251,Nano-X Imaging Ltd.,NEVE ILAN,L3,COMMUNICATIONS CENTER,,9085000
266,NEW YORK,NY,1345 AVENUE OF THE AMERICAS,45TH FLOOR,10105,0001590364,Fortress Transportation & Infrastructure Investors LLC,NEW YORK,NY,1345 AVENUE OF THE AMERICAS,45TH FLOOR,10105
267,GREENFIELD,MA,101 MUNSON STREET,,01301,0001383441,Virtus Equity & Convertible Income Fund,GREENFIELD,MA,101 MUNSON STREET,,01301
268,SALT LAKE CITY,UT,2825 EAST COTTONWOOD PARKWAY,SUITE 500 - #5130,84121,0001784440,Nowtransit Inc,SALT LAKE CITY,UT,2825 EAST COTTONWOOD PARKWAY,SUITE 500 - #5130,84121
269,GAITHERSBURG,MD,21 FIRSTFIELD ROAD,,20878,0001000694,NOVAVAX INC,GAITHERSBURG,MD,21 FIRSTFIELD ROAD,,20878
270,DUBLIN,L2,70 SIR JOHN ROGERSON'S QUAY,,2,0001757898,STERIS plc,DUBLIN,L2,70 SIR JOHN ROGERSON'S QUAY,,2
271,"XIAMEN CITY, FUJIAN PROVINCE",F4,"4TH FLOOR, NO.10 BUILDING, XINGLIN BAY",BUSINESS OPERATION CENTER JIMEI DISTRICT,361022,0001086303,Heyu Biological Technology Corp,"XIAMEN CITY, FUJIAN PROVINCE",F4,"4TH FLOOR, NO.10 BUILDING, XINGLIN BAY",BUSINESS OPERATION CENTER JIMEI DISTRICT,361022
272,MADRID,U3,CIUDAD GRUPO SANTANDER,BOADILLA DEL MONTE,28660,0000891478,"Banco Santander, S.A.",MADRID,U3,CIUDAD GRUPO SANTANDER,BOADILLA DEL MONTE,28660
273,SAN RAFAEL,CA,1108 FIFTH AVE,,94901,0000311094,WESTAMERICA BANCORPORATION,FAIRFIELD,CA,4550 MANGELS BLVD,A-2Y,94585-1200
274,PLANO,TX,5801 TENNYSON PARKWAY,SUITE 275,75024,0001691936,"STRYVE FOODS, INC.",PLANO,TX,5801 TENNYSON PARKWAY,SUITE 275,75024
275,HANGZHOU,F4,"HUANGLONG WANKE CENTER, 23/F, BLDG NO.G","NO. 77 XUEYUAN ROAD, XIHU DISTRICT",310012,0001743971,MOGU Inc.,HANGZHOU,F4,"HUANGLONG WANKE CENTER, 23/F, BLDG NO.G","NO. 77 XUEYUAN ROAD, XIHU DISTRICT",310012
276,WILMINGTON,DE,100 BELLEVUE PARKWAY,MUTUAL FUND DEPARTMENT,19809,0001137390,BLACKROCK NEW YORK MUNICIPAL INCOME TRUST,WILMINGTON,DE,100 BELLEVUE PARKWAY,MUTUAL FUND DEPARTMENT,19809
277,ATLANTA,GA,1500 RIVEREDGE PARKWAY,SUITE100,30328,0001408075,GRAPHIC PACKAGING HOLDING CO,ATLANTA,GA,1500 RIVEREDGE PARKWAY,SUITE100,30328
278,NEW YORK,NY,1585 BROADWAY,SUITE 2376,10036,0001438569,Grifols SA,NEW YORK,NY,1585 BROADWAY,SUITE 2376,10036
279,MIAMI,FL,3655 N W 87TH AVE,PO BOX 1347,33178-2428,0000815097,CARNIVAL CORP,MIAMI,FL,3655 N W 87TH AVE,PO BOX 1347,33178
280,PALM BEACH,FL,139 NORTH COUNTY ROAD,"FLOOR 2, SUITE 35",33480,0001841661,AF Acquisition Corp.,PALM BEACH,FL,139 NORTH COUNTY ROAD,"FLOOR 2, SUITE 35",33480
281,LAS VEGAS,NV,6480 CAMERON STREET,SUITE 305,89118,0000013156,"Galaxy Gaming, Inc.",LAS VEGAS,NV,6480 CAMERON STREET,SUITE 305,89118
282,LOUISVILLE,KY,850 DIXIE HWY,,40210,0000014693,BROWN FORMAN CORP,LOUISVILLE,KY,850 DIXIE HIGHWAY,,40210
283,CYPRESS,CA,5560 KATELLA AVENUE,,90630,0001757932,"Romeo Power, Inc.",CYPRESS,CA,5560 KATELLA AVENUE,,90630
284,NEWTON,MA,ONE GATEWAY CENTER (300 WASHINGTON ST.),SUITE 356,02458,0001069308,Acer Therapeutics Inc.,NEWTON,MA,ONE GATEWAY CENTER (300 WASHINGTON ST.),SUITE 356,02458
285,SAN FRANCISCO,CA,535 MISSION STREET,8TH FLOOR,94105,0001475115,"Eventbrite, Inc.",SAN FRANCISCO,CA,535 MISSION STREET,8TH FLOOR,94105
286,NEW YORK,NY,620 EIGHTH AVENUE,47TH FLOOR,10018,0001517518,ClearBridge Energy Midstream Opportunity Fund Inc.,NEW YORK,NY,620 EIGHTH AVENUE,47TH FLOOR,10018
